Designator,Mid X,Mid Y,Rotation,Layer
C1,13.0375,-18.125,180.0,bottom
C2,14.5,-11.0,270.0,bottom
C3,9.0,-18.125,0.0,bottom
J1,5.2,-6.5,0.0,bottom
R1,18.5,-11.0,270.0,bottom
R2,20.5,-11.0,270.0,bottom
R3,9.0,-21.625,270.0,bottom
R4,22.0,-17.0,270.0,bottom
SW1,14.0,-5.0,0.0,top
SW10,54.0,-20.0,0.0,top
SW11,54.0,-35.0,0.0,top
SW12,54.0,-50.0,0.0,top
SW2,14.0,-20.0,0.0,top
SW3,14.0,-35.0,0.0,top
SW4,14.0,-50.0,0.0,top
SW5,34.0,-5.0,0.0,top
SW6,34.0,-20.0,0.0,top
SW7,34.0,-35.0,0.0,top
SW8,34.0,-50.0,0.0,top
SW9,54.0,-5.0,0.0,top
U1,13.5,-27.5,0.0,bottom
U3,11.0,-14.625,90.0,bottom
