Item,Qty,Price (USD),Link
Wio tracker L1 Eink,1,45.71,https://www.seeedstudio.com/Wio-Tracker-L1-E-ink-p-6456.html
PCB,1,5.5,jlcpcb.com
I have the pasives,-,"*freeeeee/2",
3D printing,-,"I have it",
TCA8418RTWR,1,4.13,https://www.aliexpress.com/item/33026225094.html
ME6211C33M5G,1,2.34,https://www.aliexpress.com/item/1005010191995723.html
TS-1187A-B-A-B,12,4.29,https://www.aliexpress.com/item/1005007315116858.html
S4B-PH-K-S(LF)(SN),1,3.42,https://www.aliexpress.com/item/33053313994.html
PH 2.0 Cable,1,3.39,https://www.aliexpress.com/item/1005005682847096.html
Solar Pannel,1,4.01,https://www.aliexpress.com/item/1005010712545664.html
Baterry,1,11.22,https://www.aliexpress.com/item/1005010642051383.html
Total,,84.01,
